,person_age,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
40,22.0,85191.0,0,RENT,29100.0,EDUCATION,15.99,3.0,700,No,0
41,25.0,15162.0,1,OWN,3000.0,MEDICAL,11.01,3.0,564,No,0
42,22.0,69042.0,0,RENT,28000.0,MEDICAL,11.01,2.0,598,No,0
43,21.0,15307.0,0,OWN,3000.0,EDUCATION,13.61,3.0,557,No,0
44,23.0,79183.0,0,RENT,28000.0,EDUCATION,7.9,2.0,677,No,0
45,26.0,102654.0,4,RENT,28000.0,VENTURE,7.49,3.0,690,No,0
46,26.0,15229.0,1,OWN,6100.0,EDUCATION,7.51,3.0,599,No,0
47,22.0,106566.0,0,RENT,28000.0,VENTURE,9.91,3.0,604,No,0
48,21.0,15252.0,0,OWN,4200.0,PERSONAL,13.48,4.0,663,No,0
49,22.0,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,7.14,2.0,601,No,0
50,24.0,100332.0,1,RENT,28000.0,VENTURE,15.99,4.0,634,No,0
51,26.0,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,11.01,4.0,587,No,0
52,22.0,130852.0,0,RENT,28000.0,EDUCATION,11.01,4.0,683,No,0
53,24.0,83853.0,3,RENT,27600.0,HOMEIMPROVEMENT,11.01,2.0,690,No,0
54,21.0,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,3.0,518,No,0
55,22.0,85243.0,0,RENT,27500.0,EDUCATION,13.06,3.0,583,No,0
56,26.0,89074.0,4,RENT,27050.0,VENTURE,15.62,2.0,668,No,0
57,24.0,100509.0,2,RENT,27000.0,PERSONAL,13.49,2.0,673,No,0
58,24.0,88950.0,3,RENT,27000.0,VENTURE,11.01,3.0,706,No,706
59,23.0,75894.0,1,RENT,26000.0,MEDICAL,11.71,2.0,536,No,0
60,22.0,73131.0,3,RENT,25475.0,VENTURE,10.99,3.0,681,No,0
61,25.0,266090.0,4,MORTGAGE,11900.0,DEBTCONSOLIDATION,14.42,3.0,669,No,0
62,23.0,100756.0,0,RENT,25300.0,EDUCATION,10.99,3.0,689,No,0
63,22.0,16218.0,1,MORTGAGE,2000.0,PERSONAL,5.42,4.0,614,No,0
64,21.0,51922.0,3,RENT,25000.0,EDUCATION,12.73,3.0,673,No,0
65,24.0,50309.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,3.0,625,No,0
66,25.0,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,12.87,4.0,603,No,0
67,24.0,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,9.91,3.0,589,No,0
68,26.0,256862.0,2,MORTGAGE,35000.0,EDUCATION,10.65,2.0,643,No,0
69,24.0,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,4.0,643,No,0
70,23.0,16599.0,0,OWN,2400.0,DEBTCONSOLIDATION,13.49,2.0,505,No,0
71,22.0,51608.0,0,RENT,25000.0,MEDICAL,14.59,2.0,593,No,0
72,26.0,58516.0,6,RENT,25000.0,EDUCATION,9.64,4.0,686,No,0
73,25.0,16395.0,4,OWN,3600.0,MEDICAL,14.59,3.0,646,No,0
74,22.0,16890.0,0,OWN,4750.0,EDUCATION,11.01,3.0,645,No,0
75,25.0,51747.0,3,RENT,25000.0,EDUCATION,16.35,3.0,697,No,0
76,21.0,59864.0,0,RENT,25000.0,EDUCATION,10.99,2.0,648,No,0
77,22.0,60501.0,0,RENT,25000.0,PERSONAL,11.83,3.0,687,No,0
78,23.0,60754.0,1,RENT,25000.0,DEBTCONSOLIDATION,7.9,3.0,650,No,0
79,25.0,60829.0,0,RENT,25000.0,HOMEIMPROVEMENT,5.99,2.0,588,No,0
80,24.0,53825.0,2,RENT,25000.0,DEBTCONSOLIDATION,15.33,2.0,652,No,0
81,23.0,60801.0,0,RENT,25000.0,VENTURE,11.83,4.0,658,No,0
82,22.0,60747.0,0,RENT,25000.0,VENTURE,10.36,2.0,634,No,0
83,22.0,61029.0,0,RENT,25000.0,VENTURE,12.23,3.0,623,No,0
84,22.0,63236.0,0,RENT,25000.0,EDUCATION,11.11,4.0,635,No,0
85,23.0,17149.0,0,OWN,4950.0,DEBTCONSOLIDATION,7.9,4.0,531,No,0
86,23.0,63497.0,0,RENT,25000.0,PERSONAL,13.22,2.0,695,No,0
87,26.0,56325.0,2,RENT,25000.0,DEBTCONSOLIDATION,11.86,4.0,690,No,0
88,22.0,64842.0,0,RENT,25000.0,EDUCATION,13.43,4.0,574,No,0
89,26.0,57856.0,0,RENT,25000.0,HOMEIMPROVEMENT,15.28,2.0,602,No,0
90,23.0,57318.0,0,RENT,25000.0,VENTURE,17.93,2.0,679,No,0
91,21.0,16664.0,0,OWN,4500.0,VENTURE,12.98,4.0,601,No,0
92,26.0,58602.0,8,RENT,25000.0,VENTURE,18.43,2.0,595,No,0
93,22.0,67012.0,2,RENT,25000.0,EDUCATION,11.01,4.0,653,No,0
94,24.0,66643.0,3,RENT,25000.0,HOMEIMPROVEMENT,11.01,4.0,663,No,0
95,23.0,66599.0,0,RENT,25000.0,EDUCATION,11.36,3.0,653,No,0
96,23.0,67212.0,2,RENT,25000.0,EDUCATION,15.65,3.0,598,No,0
97,24.0,66918.0,1,RENT,25000.0,PERSONAL,13.22,4.0,630,No,0
98,26.0,68066.0,2,RENT,25000.0,DEBTCONSOLIDATION,12.87,2.0,637,No,0
99,23.0,229083.0,0,MORTGAGE,22000.0,EDUCATION,17.58,3.0,639,No,0
100,23.0,17859.0,0,OWN,7750.0,PERSONAL,17.04,4.0,626,No,0
101,24.0,72608.0,3,RENT,25000.0,PERSONAL,10.99,3.0,612,No,0
102,24.0,73073.0,1,RENT,25000.0,PERSONAL,11.11,3.0,628,No,0
103,26.0,65880.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.83,2.0,592,No,0
104,23.0,17755.0,1,OWN,4000.0,DEBTCONSOLIDATION,11.01,3.0,580,No,0
105,25.0,65742.0,3,RENT,25000.0,HOMEIMPROVEMENT,16.82,4.0,672,No,0
106,23.0,72713.0,0,RENT,25000.0,PERSONAL,12.73,3.0,613,No,0
107,23.0,72627.0,3,RENT,25000.0,PERSONAL,10.25,4.0,566,No,0
108,21.0,72843.0,0,RENT,25000.0,EDUCATION,10.99,4.0,718,No,718
109,25.0,75504.0,4,RENT,25000.0,MEDICAL,12.73,2.0,484,No,0
110,22.0,68824.0,0,RENT,25000.0,HOMEIMPROVEMENT,14.96,3.0,634,No,0
111,24.0,80145.0,1,RENT,25000.0,EDUCATION,9.91,2.0,636,No,0
112,22.0,80303.0,0,RENT,25000.0,EDUCATION,13.06,3.0,554,No,0
113,24.0,72919.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,2.0,553,No,0
114,21.0,18008.0,0,OWN,3000.0,HOMEIMPROVEMENT,11.01,4.0,635,No,0
115,26.0,81238.0,3,RENT,25000.0,PERSONAL,15.21,2.0,531,No,0
116,23.0,80868.0,1,RENT,25000.0,EDUCATION,7.9,4.0,621,No,0
117,24.0,81537.0,1,RENT,25000.0,VENTURE,10.99,3.0,674,No,0
118,24.0,82741.0,0,RENT,25000.0,PERSONAL,14.09,3.0,688,No,0
119,25.0,83901.0,3,RENT,25000.0,PERSONAL,17.49,2.0,597,No,0
120,26.0,226744.0,0,MORTGAGE,20000.0,VENTURE,17.74,2.0,621,No,0
121,25.0,85284.0,3,RENT,25000.0,EDUCATION,15.21,3.0,653,No,0
122,22.0,18152.0,0,OWN,4000.0,MEDICAL,10.99,3.0,585,No,0
123,24.0,84871.0,3,RENT,25000.0,EDUCATION,11.86,4.0,569,No,0
124,24.0,18294.0,2,OWN,6000.0,PERSONAL,7.49,3.0,587,No,0
125,24.0,68029.0,1,RENT,25000.0,MEDICAL,16.49,4.0,631,No,0
126,25.0,80001.0,4,RENT,25000.0,VENTURE,15.33,2.0,592,No,0
127,26.0,79875.0,6,RENT,25000.0,HOMEIMPROVEMENT,11.58,4.0,679,No,0
128,25.0,18449.0,1,OWN,5375.0,EDUCATION,5.79,2.0,645,No,0
129,25.0,88153.0,0,RENT,25000.0,MEDICAL,13.11,2.0,669,No,0
130,23.0,90109.0,0,RENT,25000.0,MEDICAL,10.36,3.0,653,No,0
131,25.0,90938.0,1,RENT,25000.0,DEBTCONSOLIDATION,10.36,2.0,577,No,0
132,24.0,90938.0,0,RENT,25000.0,EDUCATION,10.25,4.0,648,No,0
133,22.0,86284.0,0,RENT,25000.0,EDUCATION,15.95,4.0,648,No,0
134,23.0,94789.0,1,RENT,25000.0,DEBTCONSOLIDATION,11.01,2.0,548,No,0
135,23.0,94780.0,0,RENT,25000.0,VENTURE,10.62,3.0,667,No,0
136,23.0,95298.0,0,RENT,25000.0,VENTURE,10.74,3.0,676,No,0
137,24.0,75240.0,1,RENT,25000.0,MEDICAL,15.33,2.0,625,No,0
138,23.0,96143.0,1,RENT,25000.0,VENTURE,15.21,2.0,642,No,0
139,21.0,18064.0,0,OWN,6250.0,VENTURE,14.72,2.0,580,No,0
140,24.0,96627.0,2,RENT,25000.0,PERSONAL,15.7,2.0,622,No,0
141,24.0,96309.0,3,RENT,25000.0,EDUCATION,13.35,4.0,581,No,0
142,24.0,96836.0,1,RENT,25000.0,EDUCATION,6.62,2.0,583,No,0
143,26.0,96947.0,4,RENT,25000.0,DEBTCONSOLIDATION,13.61,4.0,645,No,0
144,24.0,207712.0,0,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.47,4.0,582,No,0
145,23.0,89818.0,0,RENT,25000.0,DEBTCONSOLIDATION,16.35,4.0,674,No,0
146,26.0,90006.0,4,RENT,25000.0,DEBTCONSOLIDATION,11.01,4.0,595,No,0
147,25.0,98704.0,6,RENT,25000.0,DEBTCONSOLIDATION,7.29,3.0,597,No,0
148,23.0,98967.0,5,RENT,25000.0,MEDICAL,11.36,3.0,566,No,0
149,23.0,18512.0,1,OWN,4000.0,HOMEIMPROVEMENT,16.7,2.0,566,No,0
150,25.0,172215.0,5,MORTGAGE,10000.0,MEDICAL,18.25,4.0,628,No,0
151,23.0,18831.0,0,MORTGAGE,6000.0,DEBTCONSOLIDATION,11.01,4.0,667,No,0
152,24.0,91184.0,1,RENT,25000.0,VENTURE,14.7,3.0,668,No,0
153,23.0,91886.0,1,RENT,25000.0,DEBTCONSOLIDATION,16.02,4.0,544,No,0
154,23.0,80452.0,2,RENT,25000.0,MEDICAL,15.37,2.0,699,No,0
155,21.0,18916.0,0,OWN,6200.0,HOMEIMPROVEMENT,7.9,2.0,615,No,0
156,23.0,19000.0,2,OWN,4475.0,MEDICAL,11.01,4.0,647,No,0
157,23.0,94363.0,0,RENT,25000.0,VENTURE,16.32,3.0,576,No,0
158,25.0,80570.0,3,RENT,25000.0,MEDICAL,17.93,4.0,612,No,0
159,24.0,95753.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.96,4.0,542,No,0
160,23.0,85787.0,0,RENT,25000.0,MEDICAL,19.04,4.0,646,No,0
161,25.0,102114.0,7,RENT,25000.0,DEBTCONSOLIDATION,15.95,3.0,637,No,0
162,23.0,19062.0,2,OWN,4000.0,DEBTCONSOLIDATION,13.98,4.0,667,No,0
163,23.0,18926.0,0,OWN,4600.0,VENTURE,10.99,2.0,688,No,0
164,22.0,106694.0,0,RENT,25000.0,DEBTCONSOLIDATION,15.58,2.0,667,No,0
165,25.0,90718.0,4,RENT,25000.0,MEDICAL,10.99,2.0,692,No,0
166,25.0,106668.0,1,RENT,25000.0,VENTURE,14.96,4.0,562,No,0
167,26.0,106419.0,5,RENT,25000.0,VENTURE,15.65,3.0,649,No,0
168,23.0,19065.0,3,MORTGAGE,3600.0,PERSONAL,13.47,4.0,540,No,0
169,24.0,111673.0,4,RENT,25000.0,HOMEIMPROVEMENT,16.77,4.0,600,No,0
170,23.0,112633.0,1,RENT,25000.0,DEBTCONSOLIDATION,14.59,2.0,633,No,0
171,25.0,195268.0,1,MORTGAGE,25000.0,DEBTCONSOLIDATION,16.0,3.0,662,No,0
172,21.0,18773.0,0,OWN,3175.0,HOMEIMPROVEMENT,11.54,3.0,686,No,0
173,25.0,116439.0,2,RENT,25000.0,HOMEIMPROVEMENT,15.68,4.0,595,No,0
174,24.0,118417.0,0,RENT,25000.0,HOMEIMPROVEMENT,12.61,2.0,625,No,0
175,23.0,19312.0,4,MORTGAGE,2800.0,PERSONAL,8.49,3.0,661,No,0
176,25.0,192351.0,1,RENT,30000.0,PERSONAL,17.27,4.0,577,No,0
177,24.0,190735.0,1,RENT,25000.0,HOMEIMPROVEMENT,14.59,2.0,653,No,0
178,24.0,100758.0,0,RENT,25000.0,MEDICAL,11.01,2.0,635,No,0
179,22.0,18923.0,0,OWN,2500.0,HOMEIMPROVEMENT,12.53,3.0,618,No,0
180,25.0,161894.0,0,RENT,5000.0,MEDICAL,16.49,2.0,609,No,0
181,22.0,121617.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.96,2.0,629,No,0
182,24.0,110953.0,0,RENT,25000.0,MEDICAL,15.33,2.0,662,No,0
183,26.0,130096.0,1,RENT,25000.0,PERSONAL,15.05,3.0,636,No,0
184,24.0,19677.0,3,OWN,3300.0,HOMEIMPROVEMENT,6.39,4.0,637,No,0
185,25.0,19423.0,3,OWN,3200.0,VENTURE,18.09,2.0,586,No,0
186,22.0,184800.0,1,MORTGAGE,24000.0,DEBTCONSOLIDATION,15.62,2.0,670,No,0
187,23.0,20044.0,3,OWN,6000.0,MEDICAL,7.9,2.0,618,No,0
188,23.0,178660.0,2,RENT,25000.0,DEBTCONSOLIDATION,14.93,3.0,590,No,0
189,23.0,20421.0,0,MORTGAGE,5600.0,MEDICAL,12.84,4.0,587,No,0
190,24.0,20353.0,2,OWN,3625.0,VENTURE,17.14,2.0,648,No,0
191,22.0,20297.0,0,MORTGAGE,5500.0,VENTURE,7.14,3.0,687,No,0
192,25.0,20221.0,5,OWN,5000.0,PERSONAL,8.94,4.0,572,No,0
193,23.0,20678.0,0,OWN,4375.0,VENTURE,9.63,4.0,528,No,0
194,25.0,60742.0,3,RENT,24750.0,PERSONAL,14.22,3.0,638,No,0
195,23.0,72805.0,2,RENT,24750.0,DEBTCONSOLIDATION,9.33,3.0,655,No,0
196,25.0,152227.0,2,MORTGAGE,10000.0,MEDICAL,14.09,4.0,639,No,0
197,25.0,65399.0,0,RENT,24250.0,PERSONAL,13.98,4.0,663,No,0
198,23.0,75928.0,4,RENT,24250.0,EDUCATION,10.62,4.0,528,No,0
199,24.0,21627.0,0,MORTGAGE,3900.0,DEBTCONSOLIDATION,11.01,3.0,636,No,0
200,25.0,83235.0,3,RENT,24250.0,PERSONAL,17.56,4.0,603,No,0
201,26.0,68297.0,3,RENT,24250.0,MEDICAL,14.96,2.0,507,No,0
202,22.0,89977.0,3,RENT,24250.0,DEBTCONSOLIDATION,15.65,2.0,692,No,0
203,24.0,79510.0,2,RENT,24250.0,MEDICAL,15.7,2.0,604,No,0
204,26.0,94635.0,2,RENT,24250.0,HOMEIMPROVEMENT,17.56,3.0,643,No,0
205,22.0,21205.0,0,MORTGAGE,4750.0,HOMEIMPROVEMENT,13.85,2.0,658,No,0
206,21.0,21363.0,2,MORTGAGE,6000.0,VENTURE,10.39,4.0,671,No,0
207,22.0,130762.0,3,RENT,24150.0,HOMEIMPROVEMENT,14.96,3.0,683,No,0
208,22.0,52596.0,0,RENT,24000.0,DEBTCONSOLIDATION,13.85,3.0,693,No,0
209,23.0,57326.0,2,RENT,24000.0,VENTURE,11.58,4.0,603,No,0
210,24.0,58262.0,1,RENT,24000.0,VENTURE,16.29,2.0,522,No,0
211,26.0,58620.0,4,RENT,24000.0,MEDICAL,11.01,3.0,664,No,0
212,21.0,55113.0,0,RENT,24000.0,EDUCATION,16.29,2.0,645,No,0
213,25.0,63361.0,2,RENT,24000.0,PERSONAL,10.74,2.0,592,No,0
214,24.0,57356.0,3,RENT,24000.0,PERSONAL,17.8,2.0,672,No,0
215,22.0,59680.0,0,RENT,24000.0,MEDICAL,17.56,4.0,590,No,0
216,26.0,72720.0,2,RENT,24000.0,PERSONAL,7.9,4.0,636,No,0
217,25.0,73024.0,5,RENT,24000.0,PERSONAL,10.99,4.0,580,No,0
218,22.0,73110.0,0,RENT,24000.0,PERSONAL,7.29,3.0,674,No,0
219,21.0,72902.0,0,RENT,24000.0,MEDICAL,10.75,2.0,601,No,0
220,26.0,75416.0,4,RENT,24000.0,DEBTCONSOLIDATION,7.9,3.0,620,No,0
221,22.0,75959.0,0,RENT,24000.0,EDUCATION,14.84,2.0,642,No,0
222,26.0,79222.0,7,RENT,24000.0,DEBTCONSOLIDATION,11.01,2.0,616,No,0
223,22.0,21824.0,0,MORTGAGE,4975.0,EDUCATION,11.01,3.0,588,No,0
224,23.0,71875.0,1,RENT,24000.0,DEBTCONSOLIDATION,19.69,2.0,585,No,0
225,23.0,80313.0,1,RENT,24000.0,VENTURE,11.01,4.0,632,No,0
226,24.0,72647.0,5,RENT,24000.0,VENTURE,14.96,4.0,556,No,0
227,25.0,80492.0,4,RENT,24000.0,EDUCATION,6.99,3.0,602,No,0
228,22.0,75646.0,0,RENT,24000.0,PERSONAL,16.45,4.0,639,No,0
229,24.0,85223.0,3,RENT,24000.0,EDUCATION,10.99,4.0,603,No,0
230,23.0,89735.0,2,RENT,24000.0,DEBTCONSOLIDATION,10.99,2.0,689,No,0
231,22.0,22364.0,4,OWN,3000.0,PERSONAL,7.9,4.0,672,No,0
232,22.0,90780.0,2,RENT,24000.0,EDUCATION,12.69,4.0,499,No,0
233,24.0,90889.0,1,RENT,24000.0,MEDICAL,10.37,3.0,643,No,0
234,24.0,90911.0,2,RENT,24000.0,HOMEIMPROVEMENT,11.01,3.0,589,No,0
235,26.0,83953.0,2,RENT,24000.0,DEBTCONSOLIDATION,15.83,3.0,646,No,0
236,23.0,94644.0,1,RENT,24000.0,PERSONAL,13.92,3.0,613,No,0
237,22.0,22867.0,3,OWN,3500.0,HOMEIMPROVEMENT,7.49,4.0,647,No,0
238,23.0,22583.0,1,OWN,4000.0,EDUCATION,5.99,2.0,645,No,0
239,23.0,90900.0,0,RENT,24000.0,PERSONAL,12.92,2.0,672,No,0
240,22.0,100479.0,0,RENT,24000.0,DEBTCONSOLIDATION,19.69,3.0,590,No,0
241,21.0,22882.0,0,OWN,4900.0,HOMEIMPROVEMENT,14.54,4.0,674,No,0
242,21.0,22392.0,0,OWN,5000.0,EDUCATION,11.11,2.0,594,No,0
243,24.0,22635.0,3,OWN,6250.0,HOMEIMPROVEMENT,6.54,4.0,602,No,0
244,22.0,118299.0,0,RENT,24000.0,DEBTCONSOLIDATION,11.01,2.0,503,No,0
245,26.0,125665.0,5,RENT,24000.0,DEBTCONSOLIDATION,20.0,4.0,657,No,0
246,26.0,130649.0,4,RENT,24000.0,EDUCATION,20.0,3.0,678,No,0
247,23.0,22957.0,1,MORTGAGE,2500.0,MEDICAL,15.95,2.0,594,No,0
248,23.0,138731.0,0,RENT,24000.0,MEDICAL,20.0,3.0,613,No,0
249,23.0,166378.0,0,RENT,24000.0,DEBTCONSOLIDATION,16.0,2.0,714,No,714
250,24.0,22684.0,0,OWN,13000.0,PERSONAL,7.88,3.0,640,No,0
251,21.0,22366.0,0,OWN,6250.0,VENTURE,10.62,4.0,637,No,0
252,26.0,178439.0,0,RENT,24000.0,EDUCATION,18.3,2.0,615,No,0
253,24.0,53633.0,4,RENT,23975.0,HOMEIMPROVEMENT,11.01,2.0,678,No,0
254,24.0,67032.0,2,RENT,23600.0,PERSONAL,11.89,3.0,624,No,0
255,24.0,22664.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,12.18,2.0,649,No,0
256,23.0,91275.0,0,RENT,23575.0,PERSONAL,14.5,4.0,613,No,0
257,22.0,22564.0,1,OWN,4000.0,MEDICAL,11.01,2.0,684,No,0
258,22.0,22786.0,0,OWN,5400.0,MEDICAL,15.31,2.0,647,No,0
259,25.0,22450.0,4,MORTGAGE,4000.0,MEDICAL,11.01,3.0,580,No,0
260,21.0,22666.0,0,OWN,3375.0,VENTURE,11.01,2.0,630,No,0
261,22.0,81701.0,1,RENT,23400.0,VENTURE,7.49,2.0,589,No,0
262,22.0,52984.0,0,RENT,23000.0,PERSONAL,11.01,3.0,621,No,0
263,25.0,68579.0,1,RENT,23000.0,EDUCATION,11.01,2.0,665,No,0
264,23.0,73014.0,0,RENT,23000.0,VENTURE,12.18,4.0,668,No,0
265,25.0,76932.0,2,RENT,23000.0,EDUCATION,9.91,3.0,604,No,0
266,24.0,78955.0,1,RENT,23000.0,HOMEIMPROVEMENT,11.99,4.0,620,No,0
267,23.0,82567.0,0,RENT,23000.0,EDUCATION,9.62,2.0,558,No,0
268,22.0,22466.0,0,OWN,3000.0,DEBTCONSOLIDATION,9.96,3.0,603,No,0
269,24.0,106607.0,1,RENT,23000.0,VENTURE,14.54,2.0,641,No,0
270,22.0,71385.0,0,RENT,22750.0,MEDICAL,11.36,4.0,521,No,0
271,23.0,84865.0,3,RENT,22500.0,DEBTCONSOLIDATION,14.27,2.0,655,No,0
272,24.0,22789.0,1,OWN,3000.0,HOMEIMPROVEMENT,11.99,3.0,663,No,0
273,26.0,84801.0,4,RENT,22500.0,EDUCATION,18.99,2.0,605,No,0
274,24.0,88421.0,4,RENT,22400.0,VENTURE,16.7,4.0,708,No,708
275,24.0,23071.0,3,MORTGAGE,5000.0,PERSONAL,9.32,3.0,571,No,0
276,23.0,43042.0,1,RENT,22250.0,DEBTCONSOLIDATION,12.69,3.0,678,No,0
277,25.0,53119.0,1,RENT,22000.0,HOMEIMPROVEMENT,13.11,2.0,597,No,0
278,25.0,63311.0,1,RENT,22000.0,PERSONAL,10.74,2.0,689,No,0
279,21.0,23597.0,0,MORTGAGE,4200.0,PERSONAL,14.11,4.0,675,No,0
280,22.0,69308.0,1,RENT,22000.0,EDUCATION,9.63,3.0,591,No,0
281,25.0,70598.0,5,RENT,22000.0,MEDICAL,14.65,2.0,616,No,0
282,23.0,73044.0,0,RENT,22000.0,DEBTCONSOLIDATION,10.25,4.0,640,No,0
283,24.0,73043.0,0,RENT,22000.0,VENTURE,14.26,2.0,593,No,0
284,25.0,23627.0,4,MORTGAGE,3000.0,EDUCATION,9.91,2.0,649,No,0
285,26.0,68198.0,4,RENT,22000.0,MEDICAL,17.19,3.0,645,No,0
286,22.0,85089.0,0,RENT,22000.0,EDUCATION,11.36,4.0,537,No,0
287,22.0,80358.0,0,RENT,22000.0,EDUCATION,11.01,2.0,635,No,0
288,22.0,23497.0,0,OWN,3625.0,MEDICAL,8.49,3.0,557,No,0
289,21.0,23543.0,0,OWN,6000.0,MEDICAL,8.49,3.0,631,No,0
290,24.0,23667.0,3,OWN,7400.0,MEDICAL,13.85,2.0,662,No,0
291,25.0,23719.0,2,OWN,4000.0,DEBTCONSOLIDATION,7.4,3.0,667,No,0
292,25.0,94168.0,3,RENT,22000.0,PERSONAL,11.48,3.0,719,No,719
293,25.0,99394.0,1,RENT,22000.0,EDUCATION,17.51,2.0,646,No,0
294,21.0,23504.0,0,MORTGAGE,3500.0,DEBTCONSOLIDATION,14.61,3.0,646,No,0
295,22.0,24148.0,1,MORTGAGE,4950.0,PERSONAL,11.71,2.0,594,No,0
296,25.0,69353.0,1,RENT,21700.0,PERSONAL,11.99,2.0,664,No,0
297,24.0,65946.0,0,RENT,21600.0,VENTURE,13.49,2.0,605,No,0
298,23.0,68677.0,0,RENT,21600.0,MEDICAL,20.0,4.0,646,No,0
299,26.0,76687.0,3,RENT,21600.0,DEBTCONSOLIDATION,14.35,3.0,655,No,0
300,22.0,94523.0,0,RENT,21600.0,DEBTCONSOLIDATION,11.26,3.0,679,No,0
301,24.0,24420.0,2,MORTGAGE,7000.0,HOMEIMPROVEMENT,5.99,4.0,694,No,0
302,25.0,23948.0,3,OWN,3000.0,EDUCATION,11.99,4.0,587,No,0
